Species,12/28/11,4/3/12,8/7/12,11/6/12,1/26/13,2/8/13,2/5/13,3/24/13,4/7/13,4/29/13,7/14/13,9/3/13,9/24/13,11/10/13,12/14/13,1/19/14,2/17/14,3/23/14,5/4/14,6/16/14,7/24/14,8/22/14,8/25/14,9/28/14,11/16/14,12/7/14,12/17/14,1/6/15,1/14/15,1/25/15,2/8/15,2/23/15,3/8/15,3/24/15,4/4/15,4/19/15,5/3/15,5/31/15,6/14/15,7/8/15,7/9/15,7/10/15,7/11/15,7/12/15,7/15/15,7/19/15,7/26/15,8/23/15,9/6/15,9/16/15,10/11/15,11/8/15,11/22/15,12/27/15,1/10/16,1/24/16,2/7/16,2/28/16,3/13/16,3/27/16,4/24/16,5/8/16,5/22/16,6/5/16,6/15/16,6/19/16,6/26/16,7/3/16,7/19/16,7/31/16,8/14/16,9/4/16,9/11/16,10/8/16,10/17/16,10/26/16,11/5/16,11/9/16,11/10/16,11/13/16,11/20/16,11/27/16,12/1/16,12/3/16,12/4/16,12/11/16,12/17/16,12/25/16,1/1/17,1/8/17,1/15/17,1/22/17,1/31/17,2/11/17,2/26/17,3/13/17,4/16/17,4/30/17,5/14/17,5/28/17,6/25/17,7/17/17,8/13/17,9/16/17,10/15/17,10/25/17,11/9/17,12/3/17,12/10/17,12/31/17,1/14/18,1/24/18,2/12/18,2/25/18,3/10/18,3/26/18,4/8/18,4/20/18,5/13/18,5/27/18,6/10/18,6/24/18,7/1/18,7/17/18,7/18/18,7/29/18,8/11/18,8/25/18,8/31/18,9/1/18,9/18/18,9/19/18,9/24/18,9/29/18,10/3/18,10/7/18,10/17/18,11/4/18,11/14/18,11/24/18,12/1/18,12/12/18,12/25/18,1/13/19,1/27/19,2/10/19,2/24/19,3/18/19,3/31/19,4/14/19,4/28/19,5/12/19,5/19/19,6/2/19,6/16/19,6/23/19,7/14/19,7/28/19,8/11/19
Anaerococcus_vaginalis,0.014,0.0,0.0,0.0,0.0,0.006,,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.006,0.0,,0.0,0.003,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.043,0.005,0.005,0.09,0.0,0.0,0.0,0.021,0.01,0.0,0.017,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaerostipes_hadrus,0.071,0.086,0.558,0.125,0.121,0.14,,0.074,0.114,0.185,0.072,0.092,0.056,0.029,0.052,0.116,,0.098,0.052,0.083,,0.347,0.164,0.059,0.089,0.148,0.059,0.071,0.055,0.097,0.083,0.392,0.188,0.186,0.162,0.075,0.099,0.099,0.109,0.506,0.383,0.277,0.319,0.15,0.091,0.133,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaerotruncus_colihominis,0.0,0.008,0.005,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.015,,0.0,0.015,0.003,,0.005,0.014,0.0,0.002,0.009,0.002,0.007,0.0,0.001,0.0,0.0,0.004,0.054,0.0,0.011,0.01,0.01,0.375,0.001,0.0,0.065,0.048,0.002,0.001,0.007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaerotruncus_unclassified,0.018,0.005,0.039,0.008,0.025,0.0,,0.027,0.022,0.028,0.011,0.009,0.006,0.018,0.05,0.049,,0.016,0.086,0.092,,0.097,0.109,0.009,0.018,0.026,0.007,0.009,0.033,0.109,0.089,0.048,0.081,0.105,0.042,0.053,0.051,0.051,0.0,0.007,0.0,0.0,0.054,0.013,0.0,0.007,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroidales_bacterium_ph8,0.529,0.139,0.946,1.181,1.615,1.737,,1.761,1.835,3.084,2.739,0.994,0.758,2.011,1.767,2.458,,2.97,3.88,2.664,,1.84,1.471,0.975,1.378,1.649,1.015,3.544,2.29,2.81,1.805,1.51,2.51,1.615,0.903,1.25,0.726,0.726,1.164,0.176,0.247,0.27,0.692,2.572,3.543,2.033,1.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_caccae,0.538,0.017,0.346,0.221,0.417,0.886,,0.304,0.773,0.271,0.162,0.032,0.094,0.084,0.128,0.274,,0.251,0.904,0.459,,1.624,0.498,0.165,0.06,1.054,0.149,7.424,4.611,1.637,1.063,0.178,0.334,1.091,0.11,1.256,0.118,0.118,0.599,0.109,0.171,0.656,1.573,0.547,0.251,0.074,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_cellulosilyticus,1.281,0.281,2.248,2.109,10.513,2.012,,8.4,6.308,6.922,6.961,1.104,0.249,0.945,5.208,1.759,,8.136,1.97,7.67,,3.515,3.063,4.547,3.509,5.512,7.615,3.5,4.37,4.414,9.48,7.976,3.986,4.289,6.98,5.292,3.905,3.905,3.156,1.579,2.771,2.336,2.209,4.497,6.199,6.125,5.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_dorei,0.111,0.002,0.014,0.006,0.057,0.036,,0.058,0.045,0.065,0.006,0.004,0.006,0.028,0.041,0.022,,0.026,0.039,0.005,,0.017,0.333,0.346,0.573,0.037,0.036,0.032,0.005,0.003,0.031,0.016,0.385,0.2,0.089,0.006,0.312,0.312,0.097,1.071,1.588,0.041,0.595,0.054,0.543,0.159,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_faecis,0.001,0.0,0.002,0.001,0.001,0.001,,0.001,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.001,,0.001,0.001,0.001,,0.002,0.001,0.001,0.0,0.002,0.002,0.006,0.003,0.003,0.002,0.001,0.001,0.002,0.001,0.003,0.018,0.018,0.0,0.001,0.001,0.003,0.002,0.002,0.001,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_fragilis,1.369,0.0,0.071,0.059,0.046,0.879,,0.377,2.058,0.349,0.079,0.022,0.113,0.011,0.036,0.598,,0.068,0.508,0.066,,0.229,0.409,0.044,0.46,0.098,0.195,0.459,0.371,0.185,0.135,0.017,0.103,0.712,0.029,2.502,0.315,0.315,1.275,0.225,0.077,2.365,2.787,0.537,0.093,0.304,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_intestinalis,0.968,0.226,2.724,0.379,8.553,5.44,,11.2,9.322,0.897,0.578,2.517,1.487,1.074,2.282,5.686,,3.795,1.362,1.689,,2.181,1.311,1.336,0.857,1.133,5.588,1.475,3.05,0.676,1.777,2.06,0.695,1.467,0.563,0.994,1.134,1.134,1.027,0.364,0.677,0.729,0.557,1.041,1.135,0.621,3.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_nordii,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.009,0.006,0.002,0.005,0.019,0.058,,0.0,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_ovatus,0.409,0.274,0.558,0.602,2.615,0.588,,1.397,0.609,1.024,1.935,1.877,0.355,1.336,1.219,0.903,,0.832,0.313,2.319,,1.26,0.956,1.466,2.27,1.646,3.653,2.036,1.882,0.581,2.485,2.092,1.065,0.961,1.311,0.719,0.757,0.757,0.63,1.098,2.392,2.314,1.668,2.738,2.349,1.415,1.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_pectinophilus,0.29,0.871,0.887,1.2,3.133,3.362,,7.431,4.66,1.797,0.1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_salyersiae,0.118,0.142,0.213,0.332,1.883,1.489,,1.572,0.445,1.319,1.111,0.542,0.931,1.903,1.46,0.456,,1.896,0.698,3.094,,1.045,0.599,1.665,0.833,1.993,2.716,1.572,1.469,0.769,1.981,2.348,1.023,0.463,0.734,0.886,0.729,0.729,0.66,0.458,1.454,1.089,0.836,0.949,1.509,0.911,1.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_thetaiotaomicron,0.702,0.183,0.783,0.375,1.717,0.973,,1.31,1.803,1.365,0.287,0.728,0.22,0.342,2.371,1.028,,2.638,1.436,1.051,,0.637,1.06,0.766,1.009,1.983,1.409,3.773,2.462,1.363,1.185,1.03,0.712,1.495,0.547,1.99,1.061,1.061,1.927,1.556,2.582,2.986,1.667,1.854,1.931,1.157,2.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_uniformis,1.401,0.383,3.98,2.928,10.652,5.551,,6.116,6.131,10.3,6.802,3.487,1.286,1.791,2.516,6.917,,5.628,3.93,6.012,,3.51,7.565,7.63,7.499,3.195,5.934,9.8,6.123,8.583,4.672,1.131,7.413,1.817,1.928,4.265,4.356,4.356,3.123,3.506,9.345,6.734,6.856,13.438,8.432,4.68,2.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_vulgatus,0.622,1.422,4.649,1.868,7.324,10.32,,8.868,7.988,11.126,2.315,1.183,0.991,3.023,3.771,2.68,,4.513,1.808,1.051,,2.423,3.507,4.361,4.407,3.684,6.75,4.048,1.618,1.783,2.184,2.443,3.696,3.216,1.751,2.149,3.036,3.036,3.283,8.68,13.384,10.667,6.573,6.579,3.842,4.027,3.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroides_xylanisolvens,0.042,0.031,0.043,0.033,0.022,0.148,,0.087,0.049,0.066,0.297,0.02,0.043,0.013,0.145,0.07,,0.013,0.025,0.064,,0.029,0.064,0.203,0.065,0.121,0.311,0.016,0.158,0.216,0.172,0.08,0.106,0.016,0.038,0.066,0.029,0.029,0.022,0.005,0.196,0.084,0.073,0.094,0.106,0.046,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnesiella_intestinihominis,0.589,0.137,0.71,0.452,1.131,1.807,,0.36,0.388,0.777,0.617,0.13,0.202,0.333,0.406,0.944,,0.957,1.311,0.949,,0.966,1.584,0.681,0.577,1.246,0.922,3.412,2.649,4.536,2.547,1.539,2.273,2.656,1.149,2.448,1.516,1.516,2.173,1.613,0.908,1.573,1.612,2.114,4.597,2.454,1.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium_animalis,0.27,0.044,0.248,0.063,0.063,0.023,,0.012,0.088,0.159,0.0,0.018,0.011,0.0,0.0,0.055,,0.0,0.017,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.155,0.0,0.0,0.0,0.385,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.017,0.0,0.0,0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium_breve,0.0,0.003,0.047,0.015,0.018,0.01,,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium_longum,0.108,0.078,0.018,0.011,0.003,0.0,,0.525,0.029,0.178,0.3,0.845,1.159,0.922,1.91,0.368,,0.037,0.072,0.02,,0.249,0.228,0.034,0.117,0.039,0.126,0.02,0.057,0.13,0.195,0.101,0.211,0.045,0.038,0.022,0.044,0.044,0.314,0.066,0.087,0.056,0.198,0.102,0.126,0.221,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilophila_unclassified,0.0,0.0,0.0,0.034,0.169,0.238,,0.149,0.355,0.153,0.469,0.297,0.271,0.229,0.451,0.665,,0.361,0.659,0.316,,0.474,0.804,0.232,0.485,0.637,0.745,0.473,0.465,0.482,0.713,0.373,0.591,0.743,0.57,0.734,0.492,0.492,0.729,1.227,0.259,1.294,0.425,0.543,0.385,0.94,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilophila_wadsworthia,0.0,0.0,0.0,0.008,0.034,0.026,,0.034,0.039,0.028,0.027,0.015,0.015,0.03,0.05,0.039,,0.04,0.074,0.048,,0.063,0.096,0.027,0.07,0.09,0.092,0.053,0.064,0.06,0.109,0.054,0.075,0.12,0.107,0.106,0.069,0.069,0.069,0.173,0.033,0.183,0.053,0.078,0.047,0.12,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
