Date,Species,Abundance,Panel,DominantSpecies,HealthyAverage,HealthyMax
12/28/11,Bifidobacterium_longum,0.108,Xin Fang MetaphlAN 2 Metagenomics,,0.108320588235294,1.2247
12/28/11,Bilophila_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Bilophila_wadsworthia,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Blautia_hydrogenotrophica,0.009,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Burkholderia_cenocepacia,0.009,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Burkholderia_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Burkholderiales_bacterium_1_1_47,0.007,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,C2likevirus_unclassified,0.015,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Campylobacter_showae,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Citrobacter_freundii,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Citrobacter_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridiaceae_bacterium_JC118,0.006,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridiales_bacterium_1_7_47FAA,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_asparagiforme,0.002,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_bartlettii,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_bolteae,0.324,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_citroniae,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_hathewayi,0.494,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_innocuum,0.009,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_leptum,0.037,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_nexile,0.484,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_scindens,0.002,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_sp_L2_50,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Clostridium_symbiosum,0.357,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Collinsella_aerofaciens,0.526,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Coprobacillus_sp_29_1,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Coprobacter_fastidiosus,0.062,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Coprococcus_catus,0.041,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Coprococcus_comes,0.049,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Coprococcus_sp_ART55_1,1.267,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Desulfovibrio_desulfuricans,0.008,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Desulfovibrio_piger,0.28,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Dialister_invisus,2.931,Xin Fang MetaphlAN 2 Metagenomics,,2.16144117647059,27.0459
12/28/11,Dialister_succinatiphilus,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Dorea_formicigenerans,0.175,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Dorea_longicatena,1.12,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eggerthella_lenta,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eggerthella_unclassified,0.007,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eikenella_corrodens,0.012,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Enterobacter_cloacae,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Enterobacteria_phage_HK97,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Enterobacteriaceae_bacterium_9_2_54FAA,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Enterococcus_faecium,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Erysipelotrichaceae_bacterium_21_3,0.013,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Erysipelotrichaceae_bacterium_2_2_44A,0.005,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Erysipelotrichaceae_bacterium_6_1_45,0.012,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Escherichia_coli,21.128,Xin Fang MetaphlAN 2 Metagenomics,,0.0551147058823529,0.6032
12/28/11,Escherichia_unclassified,3.863,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eubacterium_eligens,1.075,Xin Fang MetaphlAN 2 Metagenomics,,0.939023529411765,4.6383
12/28/11,Eubacterium_hallii,0.505,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eubacterium_infirmum,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eubacterium_limosum,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eubacterium_ramulus,0.036,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Eubacterium_rectale,0.733,Xin Fang MetaphlAN 2 Metagenomics,,3.05285588235294,21.8571
12/28/11,Eubacterium_siraeum,2.166,Xin Fang MetaphlAN 2 Metagenomics,,0.966767647058824,12.1935
12/28/11,Eubacterium_ventriosum,0.012,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Faecalibacterium_prausnitzii,1.048,Xin Fang MetaphlAN 2 Metagenomics,,2.95155,11.7871
12/28/11,Flavonifractor_plautii,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Fusobacterium_nucleatum,0.739,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Fusobacterium_periodonticum,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Fusobacterium_ulcerans,0.146,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Gemella_morbillorum,0.049,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Gordonibacter_pamelaeae,0.001,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Granulicatella_adiacens,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Haemophilus_parainfluenzae,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Hafnia_alvei,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Holdemania_filiformis,0.094,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Holdemania_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Klebsiella_oxytoca,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Klebsiella_pneumoniae,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Klebsiella_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lachnospiraceae_bacterium_1_1_57FAA,0.045,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lachnospiraceae_bacterium_3_1_46FAA,0.102,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.055,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lachnospiraceae_bacterium_5_1_57FAA,0.01,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lachnospiraceae_bacterium_5_1_63FAA,0.096,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lachnospiraceae_bacterium_7_1_58FAA,0.032,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lachnospiraceae_bacterium_8_1_57FAA,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lactobacillus_acidophilus,0.033,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lactobacillus_casei_paracasei,0.042,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lactobacillus_helveticus,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lactococcus_lactis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Lactococcus_phage_P680,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Leuconostoc_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Marvinbryantia_formatexigens,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Methanobrevibacter_smithii,14.823,Xin Fang MetaphlAN 2 Metagenomics,,0.111332352941176,1.295
12/28/11,Methanobrevibacter_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Methanosphaera_stadtmanae,0.161,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Morganella_morganii,0.001,Xin Fang MetaphlAN 2 Metagenomics,,0.000108823529411765,0.0004
12/28/11,Odoribacter_splanchnicus,0.445,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Oscillibacter_sp_KLE_1745,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Oscillibacter_unclassified,0.07,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Oxalobacter_formigenes,0.367,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Pantoea_unclassified,0.007,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Parabacteroides_distasonis,0.002,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Parabacteroides_goldsteinii,0.078,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Parabacteroides_merdae,0.513,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Parabacteroides_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Parasutterella_excrementihominis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Parvimonas_micra,0.166,Xin Fang MetaphlAN 2 Metagenomics,,0.0172323529411765,0.0718
12/28/11,Parvimonas_unclassified,1.65,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Pediococcus_acidilactici,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Peptoniphilus_harei,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Peptoniphilus_lacrimalis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Peptostreptococcaceae_noname_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Peptostreptococcus_stomatis,0.484,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Porphyromonas_asaccharolytica,0.367,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Prevotella_timonensis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Providencia_unclassified,0.142,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Pseudoflavonifractor_capillosus,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Pseudomonas_aeruginosa,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Pseudomonas_phage_F116,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Pseudomonas_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Roseburia_hominis,0.056,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Roseburia_intestinalis,0.017,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Roseburia_inulinivorans,0.031,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Roseburia_unclassified,0.019,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Rothia_mucilaginosa,0.001,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Ruminococcaceae_bacterium_D16,0.003,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Ruminococcus_bromii,2.137,Xin Fang MetaphlAN 2 Metagenomics,,1.85948235294118,9.6994
12/28/11,Ruminococcus_callidus,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Ruminococcus_lactaris,0.906,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Ruminococcus_obeum,0.383,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Ruminococcus_sp_5_1_39BFAA,0.649,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Ruminococcus_torques,1.356,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Shigella_sonnei,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Solobacterium_moorei,0.307,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Streptococcus_anginosus,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Streptococcus_australis,0.006,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Streptococcus_constellatus,0.002,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Streptococcus_parasanguinis,0.008,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Streptococcus_salivarius,0.163,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Streptococcus_thermophilus,0.749,Xin Fang MetaphlAN 2 Metagenomics,,0.0225911764705882,0.1446
12/28/11,Streptococcus_vestibularis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Subdoligranulum_sp_4_3_54A2FAA,0.187,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Subdoligranulum_unclassified,6.617,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Sum of Metagenomics Relative Abundances,99.957,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Sutterella_wadsworthensis,0.023,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,T5likevirus_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Torque_teno_virus,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Veillonella_atypica,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Veillonella_parvula,0.009,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,Veillonella_unclassified,0.004,Xin Fang MetaphlAN 2 Metagenomics,,,
12/28/11,p__Actinobacteria;f__Bifidobacteriaceae;g__Bifidobacterium,0.21,16S,,,
12/28/11,p__Actinobacteria;f__Coriobacteriaceae;g__,0.91,16S,,,
12/28/11,p__Bacteroidetes;f__Bacteroidaceae;g__Bacteroides,4.18,16S,Bacteroides_uniformis,,
12/28/11,p__Bacteroidetes;f__Porphyromonadaceae;g__Parabacteroides,0.43,16S,,,
12/28/11,p__Bacteroidetes;f__Prevotellaceae;g__Prevotella,0.01,16S,,,
12/28/11,p__Bacteroidetes;f__Rikenellaceae;g__,2.5,16S,Alistipes_putredinis,,
12/28/11,p__Bacteroidetes;f__S24-7;g__,0.09,16S,,,
12/28/11,p__Bacteroidetes;f__[Barnesiellaceae];g__,0.13,16S,,,
12/28/11,p__Bacteroidetes;f__[Paraprevotellaceae];g__[Prevotella],0.41,16S,,,
12/28/11,p__Cyanobacteria;f__;g__,0.01,16S,,,
12/28/11,p__Euryarchaeota;f__Methanobacteriaceae;g__Methanobrevibacter,11.1,16S,Methanobrevibacter_smithii,,
12/28/11,p__Firmicutes;f__;g__,9.52,16S,Clostridium_sp_L2_50,,
12/28/11,p__Firmicutes;f__Christensenellaceae;g__,1.64,16S,,,
12/28/11,p__Firmicutes;f__Clostridiaceae;g__,0.09,16S,,,
12/28/11,p__Firmicutes;f__Clostridiaceae;g__Clostridium,0.02,16S,,,
12/28/11,p__Firmicutes;f__Erysipelotrichaceae;g__,1.29,16S,,,
12/28/11,p__Firmicutes;f__Erysipelotrichaceae;g__[Eubacterium],0.03,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__,4.83,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__Blautia,1.74,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__Coprococcus,0.1,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__Dorea,0.38,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__Lachnobacterium,0.06,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__Lachnospira,0.29,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__Roseburia,0.17,16S,,,
12/28/11,p__Firmicutes;f__Lachnospiraceae;g__[Ruminococcus],1.37,16S,,,
12/28/11,p__Firmicutes;f__Ruminococcaceae;g__,13.01,16S,Subdoligranulum_unclassified,,
12/28/11,p__Firmicutes;f__Ruminococcaceae;g__Faecalibacterium,1.1,16S,Faecalibacterium_prausnitzii,,
12/28/11,p__Firmicutes;f__Ruminococcaceae;g__Oscillospira,0.27,16S,,,
12/28/11,p__Firmicutes;f__Ruminococcaceae;g__Ruminococcus,3.19,16S,,,
12/28/11,p__Firmicutes;f__Veillonellaceae;g__Dialister,2.08,16S,,,
12/28/11,p__Firmicutes;f__Veillonellaceae;g__Phascolarctobacterium,0.23,16S,,,
12/28/11,p__Firmicutes;f__Veillonellaceae;g__Veillonella,0.0,16S,,,
12/28/11,p__Firmicutes;f__[Tissierellaceae];g__Parvimonas,0.59,16S,,,
12/28/11,p__Fusobacteria;f__Fusobacteriaceae;g__Fusobacterium,0.79,16S,,,
12/28/11,p__Proteobacteria;cf__Enterobacteriaceae;g__Morganella,0.0,16S,Morganella_morganii,,
12/28/11,p__Proteobacteria;f__;g__,0.19,16S,,,
12/28/11,p__Proteobacteria;f__Alcaligenaceae;g__Sutterella,0.05,16S,,,
12/28/11,p__Proteobacteria;f__Burkholderiaceae;g__,0.0,16S,,,
12/28/11,p__Proteobacteria;f__Desulfovibrionaceae;g__Bilophila,0.0,16S,,,
12/28/11,p__Proteobacteria;f__Desulfovibrionaceae;g__Desulfovibrio,0.6,16S,,,
12/28/11,p__Proteobacteria;f__Enterobacteriaceae;__,0.0,16S,Klebsiella_pneumoniae,,
12/28/11,p__Proteobacteria;f__Enterobacteriaceae;g__,16.76,16S,Escherichia_coli,,
12/28/11,p__Proteobacteria;f__Enterobacteriaceae;g__Erwinia,0.0,16S,,,
12/28/11,p__Proteobacteria;f__Enterobacteriaceae;g__Providencia,0.16,16S,,,
12/28/11,p__Proteobacteria;f__Enterobacteriaceae;g__Serratia,0.0,16S,,,
12/28/11,p__Proteobacteria;f__Pasteurellaceae;g__Aggregatibacter,0.0,16S,,,
12/28/11,p__Proteobacteria;f__Pseudomonadaceae;g__Pseudomonas,0.0,16S,,,
12/28/11,p__Synergistetes;f__Synergistaceae;g__Synergistes,0.1,16S,,,
12/28/11,p__Tenericutes;f__;g__,0.99,16S,,,
12/28/11,p__Verrucomicrobia;f__Verrucomicrobiaceae;g__Akkermansia,14.77,16S,Akkermansia_muciniphila,,
4/3/12,Adlercreutzia_equolifaciens,0.035,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Aeromonas_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Aggregatibacter_segnis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Aggregatibacter_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Akkermansia_muciniphila,0.95,Xin Fang MetaphlAN 2 Metagenomics,,0.984429411764706,8.439
4/3/12,Alistipes_finegoldii,0.001,Xin Fang MetaphlAN 2 Metagenomics,,1.15306764705882,10.7227
4/3/12,Alistipes_indistinctus,0.005,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Alistipes_onderdonkii,0.033,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Alistipes_putredinis,0.885,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Alistipes_senegalensis,0.009,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Alistipes_shahii,0.16,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Alistipes_sp_AP11,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Alistipes_sp_HGB5,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Alistipes_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Anaerococcus_vaginalis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Anaerostipes_hadrus,0.086,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Anaerotruncus_colihominis,0.008,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Anaerotruncus_unclassified,0.005,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroidales_bacterium_ph8,0.139,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroides_caccae,0.017,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroides_cellulosilyticus,0.281,Xin Fang MetaphlAN 2 Metagenomics,,1.48938235294118,18.1811
4/3/12,Bacteroides_dorei,0.002,Xin Fang MetaphlAN 2 Metagenomics,,2.11637352941176,9.7387
4/3/12,Bacteroides_faecis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroides_fragilis,0.0,Xin Fang MetaphlAN 2 Metagenomics,,0.905426470588236,4.1907
4/3/12,Bacteroides_intestinalis,0.226,Xin Fang MetaphlAN 2 Metagenomics,,0.630638235294118,6.4841
4/3/12,Bacteroides_nordii,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroides_ovatus,0.274,Xin Fang MetaphlAN 2 Metagenomics,,4.23238823529412,41.7481
4/3/12,Bacteroides_pectinophilus,0.871,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroides_salyersiae,0.142,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroides_thetaiotaomicron,0.183,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bacteroides_uniformis,0.383,Xin Fang MetaphlAN 2 Metagenomics,,1.7114,4.2107
4/3/12,Bacteroides_vulgatus,1.422,Xin Fang MetaphlAN 2 Metagenomics,,6.05498529411765,26.5957
4/3/12,Bacteroides_xylanisolvens,0.031,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Barnesiella_intestinihominis,0.137,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bifidobacterium_animalis,0.044,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bifidobacterium_breve,0.003,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bifidobacterium_longum,0.078,Xin Fang MetaphlAN 2 Metagenomics,,0.108320588235294,1.2247
4/3/12,Bilophila_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Bilophila_wadsworthia,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Blautia_hydrogenotrophica,0.006,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Burkholderia_cenocepacia,0.013,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Burkholderia_unclassified,0.034,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Burkholderiales_bacterium_1_1_47,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,C2likevirus_unclassified,0.003,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Campylobacter_showae,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Citrobacter_freundii,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Citrobacter_unclassified,0.0,Xin Fang MetaphlAN 2 Metagenomics,,,
4/3/12,Clostridiaceae_bacterium_JC118,0.02,Xin Fang MetaphlAN 2 Metagenomics,,,
